"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_keySize","www.bimcloud.fr/54.37.80.118","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.bimcloud.fr/54.37.80.118","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.bimcloud.fr/54.37.80.118","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.bimcloud.fr/54.37.80.118","443","INFO","04FEF1EAC3E7883765658453C3E5B1323021","",""
"cert_serialNumberLen","www.bimcloud.fr/54.37.80.118","443","INFO","18","",""
"cert_fingerprintSHA1","www.bimcloud.fr/54.37.80.118","443","INFO","34AEF471B016CFFD8A71D8026DB277CD31B9091B","",""
"cert_fingerprintSHA256","www.bimcloud.fr/54.37.80.118","443","INFO","073E1D40E1328CFACF58FF50AD7930D05102BC13B217138D42E471FFAF95706A","",""
"cert","www.bimcloud.fr/54.37.80.118","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF8zCCBNugAwIBAgISBP7x6sPniDdlZYRTw+WxMjAhMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEwMTgxMDUwMjdaFw0yNDAxMTYxMDUwMjZaMBYxFDASBgNVBAMTC2JpbWNsb3VkLmZyMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAvO3wTxPg+gqIbiremge25kK7nG49vr8gmi0NAehLY219NHQx51rDqauQLSaFfd0yhCZNwOqZ+756TAG4YAo1wLmeoqiZSkT6JhDECpJXJiPyswqtgfRiTfHHM0vjDhZevVUlkglOZaPngGkVPsfSKuT52WiKHab9Llv6RONhqNeCqXDUf+wMyyueI4ALTt+4k1qEhGlYrHtJoSarTAyaaFzAQ/HWIHzdF2dIEGidDZyIL0FmKNjsitoJh0fIuKqzOqEin7dh3QYNjmshdToTPFY7J63LD6u8xtuzEkJt9i+W80MdM7VxwdEcEHWiuGsHDEgnuRMYKKY/vSorQWHgqF4+IsG+FVnaVybgY6ZDbK4bTekpN0IU/lrx+MBkyN8oSudORLumZCgXuN5CSTtQXPFhy6eXCnmYQVbIbHnAl2rHmm/pZHr5+l0e0jV4ranFbpv2AGhOd/KIRuUCgrNWNY4wFT7WvSoNsxBjTeJ1IeFasrfHd420SBGC7At/ooWmwQN3yKIVEglWayDlgrK4Obbs1ueXNoCEB0PqddSQhyDmJMKJTiCVaQmYK2VcyQeW3xJATgcL2Ykzrup/zqWXzPb+KUoBzGMa7bduD+SroiEfQGuQz6N/eSDMZkgcan+A7XhgTS7YF6DMajNW4+0OAW2oNnzHVQ85E9UJhxHG8isCAwEAAaOCAh0wggIZMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUI2YitL4J2ZbIwDfqpx1xMJZoSy8wHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wJQYDVR0RBB4wHIINKi5iaW1jbG91ZC5mcoILYmltY2xvdWQuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYtCn3MYAAAEAwBHMEUCIGj3ArOHeL4hL2RfDr6ZMbUwoBMe7wbbtZhtY+rZeb8nAiEAwuh7vck7gX276+yFjzUlW5Ho5B27Wq0rN2bqRZRSwhYAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYtCn3NRAAAEAwBIMEYCIQD1UPxKwcDHyiNi9TwV6rXu9KsevljaN+3RX/ODKv38dwIhAMuKYAvUDwrqatdjUSBpmu48NPIwpYNK0G5ICfuBlP6sMA0GCSqGSIb3DQEBCwUAA4IBAQB5QzfluM+VfU/FPqi+p9ZSkAuxHaMM8E+D82l7VIcgE/DykfPBFoZGcIeqIxPVxze1khzugDXBXg2/Kisozud0QMegYRUnN6jRwc0lICSQjO3YFajMJKv615+d72voRBejqvL/Oh2/avTXaizOTCrqR5qPQ7u7N562q7XkadcpLVImNMKri2QTAJX8avoT+bZFl823kKHf+1Dxmmlj59V9Xno7yPmsnQjq9uAqC9B4EHTJWM7m0zUtOXVgRm0tsCUKuHbh/Jpgt6OXrJTZN/EZ/LwUE33guMqSa7p+xlvnbGKhDF1WetyKm0tfgf/na2kdE8LTciANxlnPJgZVweCC\n-----END CERTIFICATE-----","",""
"cert_commonName","www.bimcloud.fr/54.37.80.118","443","OK","bimcloud.fr","",""
"cert_commonName_wo_SNI","www.bimcloud.fr/54.37.80.118","443","INFO","TRAEFIK DEFAULT CERT","",""
